img_timestamp,classes,confidences,boxes1607060306.728240,[0 0 0 0 0 0 0 1],[0.99351436 0.9876877  0.9792991  0.97363496 0.9562656  0.92687553 0.9115493  0.9505005 ],[117 121  57 151 116 128  59 138 220 163  27  61 218 162  28  62 457 147   32 109 219 165  28  54 301 178  13  35 114 185  60  98]
1607060308.861510,[0 1 1],[0.9727776 0.9642274 0.9285202],[432  87  82 174 418 176 122 141 530 179  31  74]
1607060308.928200,[0 0 0 0 0 1],[0.970652   0.9621462  0.95683473 0.93873566 0.90342295 0.935073  ],[416  91  84 162 218 158  28  59 416  92  85 146 219 159  29  56 499 127   37 130 410 176 118 136]
1607060308.994869,[0 0 0 0 0 1],[0.989074   0.98771644 0.973936   0.96559006 0.9482441  0.96060675],[408  94  83 161 499 126  39 136 212 157  33  62 212 158  32  67 213 159   31  59 404 181 109 128]
1607060309.061529,[0 0 0 0 0 1],[0.99212265 0.9896658  0.98790824 0.956814   0.9116824  0.9510029 ],[500 127  40 141 398  98  84 148 209 157  32  69 395  99  82 144 209 156   33  64 396 180 104 125]
1607060309.128230,[0 0 0 0 1],[0.98880917 0.9878859  0.982297   0.9808977  0.9477386 ],[392 100  80 145 500 124  44 144 206 153  31  74 205 154  32  68 391 178   98 123]
1607060309.194900,[0 0 0 0 0 1],[0.9959942 0.9852402 0.9794032 0.9777142 0.9667878 0.961865 ],[388 102  74 151 503 122  44 151 389  98  73 166 200 153  34  69 201 153   33  75 383 192  96 107]
1607060309.261559,[0 0 0 1],[0.9946831  0.9841222  0.98125654 0.974374  ],[383 105  73 155 196 154  35  77 503 123  45 146 380 192  88 103]
1607060309.328219,[0 0 0 0 0 0 1 1 1],[0.9910825  0.98863417 0.9873896  0.9709402  0.92267895 0.9123326 0.9769533  0.95408434 0.9374144 ],[192 154  35  74 375 109  73 143 504 121  47 149 191 154  37  69 193 157   33  69 194 154  34  72 376 193  78  98 375 201  82  89 374 187  82 104]
1607060309.394900,[0 0 0 0 0 0 0 0 1],[0.9920103  0.99123526 0.9883732  0.9798324  0.97925913 0.97572076 0.93973327 0.93636423 0.958099  ],[188 152  35  79 368 115  69 139 508 121  45 155 370 112  71 143 369 112   66 149 188 155  37  73 507 120  49 149 188 152  36  72 371 194  77  92]
1607060309.461560,[0 0 0 0 0 0 1],[0.9908612 0.9898436 0.9820016 0.9534228 0.9469271 0.9045345 0.97536  ],[182 151  37  80 508 119  48 152 362 115  68 140 181 150  39  77 180 154   42  74 364 113  66 160 365 187  73 101]
1607060309.528219,[0 0 0 0 0 0 1 1],[0.9906661  0.9871208  0.98537165 0.97725606 0.9380675  0.9210704 0.96315724 0.9198721 ],[176 149  38  90 509 120  48 153 360 116  59 140 177 151  36  84 362 118   57 148 425 153  30  86 359 189  71  94 582 180  32  89]
